Manufacturer name;Manufacturer part number;PAR part number;Product name;Vendor account;Last receipt date
SOLIDTEK; KB-260ABU **(1);294004801;Keyboard 104 Key Usb Pizza Hut;SOL01;2/27/2023
SHURTAPE;#560;893001602;"Tape 2"" Clear With Par Logo";BRA17;10/5/2020
Amcor;#HPL17;850034801;JS970 Panasonic Terminal Box;AMC01;2/21/2023
Thruway Inc.;(SEE AVL DRAWING);842013501;"Screw,Pph,Type F,S/Z 2-56x1/4""";THR10;8/24/2021
QSR;001-0001;269008906;Epic Kds Cd Unserialized;QSR01;10/13/2020
QSR;001-2087;269008907;S/W License Epic Kds V11;QSR01;10/21/2021
QSR;001-4010;269008923;Qsr Table Service Pack;;
QSR;001-4013;269008924;Qsr Third Party H/W License;;
QSR;001-4021;269008919;Qsr Csk S/W License;;
IEI INTEGRATION CORP;001728002;001728002;Aw-Cash Drwr Mtg Template;;
QSR AUTOMATIONS, INC.;001-7690;269008930;Kitchen Capacity Management Service;;
QSR AUTOMATIONS, INC.;001-7900;269008927;Connect Smart Kitchen Server Monthly;;
QSR AUTOMATIONS, INC.;001-7901;269008929;Connect Smart Kitchen Table Service Add-On Package;;
QSR AUTOMATIONS, INC.;001-7903;269008928;Connect Smart Kitchen Display Screen;;
R-TRONICS, INC;001848501;001848501;C/A Rj45 Serial Loop Back;;
QSR;001-9001;269008908;Kds Software Maintenance;QSR01;8/21/2020
QSR;001-9007;269008920;Qsr Csk Annual S/W Maintenance;;
CUSTOM TOOL & MODEL CORP;001957101 (SEE DRAWING);001957101;Capacitive Pen;CTM01;1/13/2021
ICP;001962401;001962401;Pcb Assy Video W/O Touch;;
QSR;002-5010;C4702;10'Bump Bar Cable;CAB02;11/17/2021
QSR;002-5010;C4702;10'Bump Bar Cable;QSR01;5/6/2020
QSR AUTOMATIONS, INC.;002-5010;C4702;10'Bump Bar Cable;CAB02;11/17/2021
QSR AUTOMATIONS, INC.;002-5010;C4702;10'Bump Bar Cable;QSR01;5/6/2020
QSR AUTOMATIONS, INC.;002-5015;C4703;15' Bump Bar Cable;CAB02;10/30/2020
QSR;002-5015;C4703;15' Bump Bar Cable;CAB02;10/30/2020
QSR;002-5025;C4704;Cable -Bump Bar 25';CAB02;1/25/2023
QSR AUTOMATIONS, INC.;002-5025;C4704;Cable -Bump Bar 25';CAB02;1/25/2023
QSR AUTOMATIONS, INC.;002-6000;C4701;"8"" Pig Tail Cable";CAB02;8/15/2022
QSR;002-6000;C4701;"8"" Pig Tail Cable";CAB02;8/15/2022
SCHNORR;002800;932002101;Washer-Belleville;;
QSR;003-6710;542007901;Qsr Qbracket W/Keypad;QSR01;12/29/2020
